name,poster,plays,comments,likes,reposts,posted_time,tag
Cherry Hill - Russ {Split},jazz,"5,989,663 plays",603 comments,88.6K,"3,218",Posted on 10 May 2017,Hip-hop & Rap
From The Start,laufey,"3,569,489 plays","2,401 comments",60.5K,823,Posted on 11 May 2023,Jazz
Poker Face New Jazz remix Prod Bread Beatz,BreadBeatz,"920,281 plays",140 comments,20.4K,157,Posted on 3 September 2023,New Jazz
the performance or the looks (LoveGame New Jazz Prod Bread Beatz),qwark,"334,922 plays",41 comments,"5,426",24,Posted on 10 October 2023,New Jazz
SDM - Jazz Fuego (Remix Not-G),NOT-G,"219,717 plays",174 comments,"6,444",51,Posted on 9 September 2023,Hip-hop & Rap
LoveGame New Jazz - Bread Beatz,BORN_4_RUSH,"162,099 plays",18 comments,"3,098",16,Posted on 18 October 2023,None
If NewJeans sang over the viral new jazz beat by frozy808 (out on all streaming platforms),picassio,"334,771 plays",266 comments,"9,484",280,Posted on 23 August 2023,Pop
Alpha Wann New Jazz - Not-G,NOT-G,"250,721 plays",274 comments,"9,402",130,Posted on 26 July 2023,Hip-hop & Rap
Love Game New Jazz - SLOWED,4pm,"134,675 plays",8 comments,"2,166",9,Posted on 10 October 2023,None
Friends New Jazz Remix Prod. Bread Beatz,BreadBeatz,"174,384 plays",47 comments,"3,499",36,Posted on 24 August 2023,new jazz
LoveGame New Jazz Prod Bread Beatz (slowed version),☆,"103,961 plays",19 comments,"1,937",12,Posted on 21 October 2023,New jazz
Migos - Straightenin [new jazz],KIRA 🏂,"75,677 plays",16 comments,"3,316",21,Posted on 24 October 2023,None
"Я знаю твой телефон, но никогда не позвоню Tanin Jazz - I know your phone number",Ns_,"830,428 plays",202 comments,13.7K,107,Posted on 5 June 2020,None
Falling Behind,laufey,"1,350,547 plays",722 comments,23.7K,235,Posted on 11 August 2022,Jazz
LoveGame New Jazz Prod Bread Beatz (slowed perfectly),BabyKicker,"104,514 plays",11 comments,"1,609",13,Posted on 13 October 2023,None
- Poker face new jazz remix Prod. Bread beats SLOWED + REVERB,Xoro,"90,708 plays",5 comments,"1,379",7,Posted on 8 October 2023,None
just dance new jazz remix [slowed] Prod. Bread Beatz & Newmagick,SlakcV2,"45,609 plays",4 comments,"1,033",8,Posted on 7 November 2023,New Jazz
Promise,laufey,"925,076 plays",677 comments,15.6K,145,Posted on 14 June 2023,Jazz
Kyra - new jazz,lmaowil,"255,471 plays",66 comments,"5,853",42,Posted on 27 July 2023,Jazz & Blues
Migos - NewJAZZ,OHBAD,"202,504 plays",80 comments,"9,217",74,Posted on 30 September 2023,Hip-hop & Rap
new jazz x pluggnb type beat: japan - prod.jk8,GIOOOO!:(,"105,133 plays",34 comments,"2,532",27,Posted on 7 September 2023,None
MAPESS - NEW JAZZ (REMIX),jayron.op,"91,813 plays",49 comments,"2,461",18,Posted on 12 September 2023,None
Jazz,Lil Double 0,"61,257 plays",7 comments,912,9,Posted on 4 November 2022,Rap/Hip-Hop
Drake - Passionfruit (Official Audio) (Extended Version) [HQ],Edwards Music ™,"1,279,617 plays",204 comments,20K,191,Posted on 16 February 2019,Hip-hop & Rap
NBA Youngboy - No Mentions (WSHH Exclusive - Official Audio),La Casa Urbana,"29,118,403 plays","3,252 comments",294K,"3,521",Posted on 31 August 2018,Hip hop y Rap
Tanin jazz - Виртуальная любовь / я знаю твой телефон ( speed up ),Hhsuxk,"152,485 plays",39 comments,"3,365",25,Posted on 1 June 2023,None
New Jazz X Amir.pr0d X Emotional Type Beat - Likethat,Mr.Beast,"95,433 plays",10 comments,"1,664",7,Posted on 26 August 2023,None
Amy Winehouse - Back To Black,Ereny Youssef,"7,805,399 plays","1,179 comments",151K,"3,203",Posted on 11 December 2015,Jazz
xø,jazz,"35,156 plays",4 comments,254,6,Posted on 19 December 2017,Trap
NBA Youngboy - Decieved Emotions,La Casa Urbana,"7,140,640 plays",638 comments,77.6K,780,Posted on 7 September 2018,Hip hop y Rap
GAZO ASAP X New Jazz (ALNSO Remix),2B2i,"33,095 plays",13 comments,"1,012",11,Posted on 5 October 2023,Hip-hop & Rap
Bel Jazz Ou Fou Pou Li,user994415668,"892,796 plays",23 comments,"5,599",145,Posted on 28 October 2013,None
hot n cold (new jazz remix),Newmagick,"41,980 plays",16 comments,999,9,Posted on 23 October 2023,new jazz
privet privet - za!ko & Tanin Jazz,BuY,"109,411 plays",71 comments,"2,054",10,Posted on 29 June 2023,None
Tera Mera Safar,Jazz Gi££ 🦋,"939,839 plays",45 comments,20.8K,90,Posted on 7 January 2023,Entertainment
LETO - DOUBLE JAZZ (REMIX),jayron.op,"37,959 plays",26 comments,"1,095",11,Posted on 29 September 2023,None
Habits Vintage 1930s Jazz Tove Lo Cover ft Haley Reinhart,mthanh,"70,375 plays",8 comments,"1,421",4,Posted on 19 September 2023,None
★Virtual Love // Tanin Jazz★ (⁠ᗒ⁠ᗩ⁠ᗕ⁠),ゞゞ『ηιση』♂〜,"87,477 plays",72 comments,"1,787",19,Posted on 15 July 2023,None
rainy,jazz,"11,951 plays",1 comment,98,3,Posted on 16 November 2022,lofi
Valentine,laufey,"1,600,149 plays","1,079 comments",26.8K,319,Posted on 14 February 2022,Jazz
Akon - Lonely [ORIGINAL SLOWED],Jazz_Jr,"6,558,398 plays","2,190 comments",132K,"1,587",Posted on 29 March 2017,Hip-hop & Rap
virtual love speed up (russian song) -tanin jazz,𝖻𝗅𝗎𝖾._.𝖿𝗅𝗈𝗐𝖾𝗋,"203,646 plays",171 comments,"4,916",38,Posted on 23 September 2023,Piano
pass,jazz,"85,614 plays",54 comments,"1,316",44,Posted on 15 January 2021,lofi
just dance new jazz remix breadbeats x newmagick,marlonsito,"38,649 plays",6 comments,574,7,Posted on 24 October 2023,None
supernatural (new jazz remix),Newmagick,"38,675 plays",32 comments,831,5,Posted on 17 October 2023,new jazz
last,jazz,"60,506 plays",3 comments,221,7,Posted on 28 October 2020,R&B & Soul
sleep,jazz,"30,386 plays",12 comments,254,6,Posted on 8 May 2020,R&B & Soul
Tanin Jazz - Virtual Love,V3NZX,"62,157 plays",21 comments,"1,343",5,Posted on 27 September 2023,None
rockers,jazz,"6,437 plays",1 comment,43,3,Posted on 11 November 2022,Trap
NBA Youngboy - Cant Be Saved (WSHH Exclusive - Official Audio),La Casa Urbana,"30,002,173 plays","2,740 comments",280K,"3,970",Posted on 29 August 2018,Hip hop y Rap
Study Beats Mix ► Chill / Hip Hop / Jazz,The Jazz Hop Café,"1,891,156 plays",880 comments,41.3K,"1,377",Posted on 15 December 2016,Mix
امير عيد وهبه مامون هكون لها طبعا امير - الوقت فات مسلسل ريفو,Hatem,"539,719 plays",31 comments,13.5K,77,Posted on 14 August 2023,Drum & Bass
nightmare,jazz,"5,708 plays",3 comments,50,4,Posted on 5 November 2022,lofi
xo1,jazz,"20,238 plays",1 comment,109,1,Posted on 21 October 2017,Trap
jazz is for ordinary people,berlioz,"145,496 plays",55 comments,"4,213",113,Posted on 7 April 2023,Electronic
Soft Jazz Sexy Instrumental Relaxation Saxophone Music 2013 Collection,БРОДЯГА,"1,905,880 plays",569 comments,46K,"1,126",Posted on 17 October 2016,None
NEON Jimi Jazz,Federico Parisi,"51,970 plays",9 comments,857,3,Posted on 27 September 2023,None
Freeze Corleone x New Jazz (prod. wrongway! x 1tenseoh x strae1k),Tauros Beats,"39,621 plays",13 comments,971,9,Posted on 17 September 2023,Hip-hop & Rap
NBA Youngboy - No Love,La Casa Urbana,"13,252,628 plays","1,376 comments",157K,"1,927",Posted on 7 September 2018,Hip hop y Rap
Smooth Jazz (Late Night Show),Relaxing Instrumental Jazz Academy,"100,054 plays",64 comments,"1,183",37,Posted on 22 April 2015,New Age
twentyseventeen,jazz,"41,312 plays",5 comments,359,13,Posted on 1 January 2018,Trap
MYKE TOWERS FT SAMMY LENNY TAVAREZ RAFA PABON - LA FORMA EN QUE ME MIRAS (ORIGINAL),RD Urbans Music ✅,"11,861,425 plays",786 comments,159K,"1,750",Posted on 20 May 2015,Latina
"David Guetta, Bebe Rexha, J Balvin - Say My Name",TRAPCLOUD,"6,985,068 plays","2,457 comments",112K,"2,469",Posted on 14 September 2018,Reguetón
Bellaire - Paris City Jazz,Bellaire,"1,004,403 plays",172 comments,26.9K,"2,221",Posted on 29 May 2017,House
Jazz (Prod. by OnGaud),MICK JENKINS,"5,940,039 plays",454 comments,93K,11.3K,Posted on 12 August 2014,mickjenkins
Jazz Music,Jazz Music Collection,"23,415 plays",0,146,3,Posted on 16 July 2015,Jazz
What You Won't Do for Love,Bobby Caldwell,"2,157,122 plays",826 comments,45.9K,917,Posted on 30 April 2007,Jazz
Habits - Vintage 1930's Jazz Tove Lo Cover ft. Haley Reinhart,J3ss13,"341,254 plays",71 comments,"6,799",64,Posted on 19 August 2021,None
Jazz Music (Dinner Music),Relaxing Instrumental Jazz Academy,"51,720 plays",4 comments,309,8,Posted on 22 April 2015,New Age
Dezine - 'Lady Jazz' (Slowed),❥ 𝔹𝕖𝕧 ❥,"180,647 plays",36 comments,"4,213",50,Posted on 1 June 2022,None
Oncle Jazz,Men I Trust,"196,711 plays",53 comments,"3,348",56,Posted on 13 September 2019,None
Tanin-Jazz Virtual Love,Sweet Epic,"134,849 plays",67 comments,"2,532",32,Posted on 10 April 2019,None
Иван Дорн - New Jazz Beat,kyusai2k,"68,420 plays",9 comments,"1,226",9,Posted on 4 August 2023,newjazz
Love - Frankly Jazz 8 Piace Swing Band,Frankly Jazz,"54,251 plays",4 comments,"1,057",10,Posted on 2 February 2018,Jazz & Blues
If NewJeans sang over the viral new jazz beat by frozy808 (OG. Key - out on all streaming platforms),picassio,"152,657 plays",103 comments,"4,182",125,Posted on 27 August 2023,Pop
Toxi$ Feat. OG Buda - LUVSKI,МузЛист RU,"274,377 plays",28 comments,"3,237",3,Posted on 2 September 2023,Hip-hop & Rap
Stock Jazz Elevator Music | Funny Meme Effect,Fesliyan Studios,"174,548 plays",148 comments,"3,090",34,Posted on 19 June 2019,Jazz & Blues
PILLS║Rap Lofi Type Beat Instrumental║Lo Fi hip hop sad type beat chill piano boom bap Jazz Guitar,Rᴀᴘ Bᴇᴀᴛs║Tʀᴀᴘ Iɴsᴛʀᴜᴍᴇɴᴛᴀʟ Tʏᴘᴇ Bᴇᴀᴛ Dʀɪʟʟ Mᴜsɪᴄ,0,0,Like,Repost,Posted on 30 January 2016,R&B & Soul
Август,INTELLIGENCY,"10,856,623 plays","2,779 comments",150K,"2,000",Posted on 27 September 2019,Jazz
Tanin Jazz - Виртуальная Любовь,TANINJAZZ,"63,534 plays",35 comments,"1,549",15,Posted on 19 June 2021,Pop
"RE-IGNITION ft ARB4, Jazz Alonso, Emei",VALORANT,"25,107 plays",6 comments,517,18,Posted on 2 September 2023,None
Berlioz - deep in it/ jazz is for ordinary people (C-notes house edit),C-Notes,"124,965 plays",195 comments,"4,285",181,Posted on 2 May 2023,Jazz & Blues
Bel Jazz- La Femme De Mon Patron,Ella Ji Pierre,"491,009 plays",13 comments,"3,740",114,Posted on 28 September 2013,konpa
Lullaby Of Jazz,Relax Cafe Music BGM,"39,626 plays",1 comment,88,3,Posted on 25 March 2023,Jazz & Blues
The Vibe jazz,CrazyJaZz,"3,513,532 plays",261 comments,28.2K,969,Posted on 8 June 2017,Hip-hop & Rap
new dorn new jazz - nixony + whyonly18,nixony,"55,560 plays",12 comments,"1,266",23,Posted on 29 July 2023,Hip-hop & Rap
DISIP It Doesn't Matter Live Spring Valley Ny 3 - 10 - 17 BKS 9082205600 Sa se yon lot JAZZ,BLACKKRYTIKSHOW OFFICIAL,"353,333 plays",28 comments,"3,026",68,Posted on 13 March 2017,World
new dorn new jazz,yockerchief,"112,014 plays",66 comments,"2,827",25,Posted on 27 July 2023,Trap
Paris City Jazz,Bellaire,"144,168 plays",17 comments,"3,893",55,Posted on 19 January 2018,Electronic
SUAVE REMIX - EL ALFA FT CHENCHO FT BRYANT MYERS FT NORIEL FT JON Z FT MIKY WOODZ,Urban Latin ✅,"13,809,166 plays","1,910 comments",189K,"3,158",Posted on 12 January 2015,Latina
Soft Jazz,Relaxing Instrumental Jazz Academy,"64,875 plays",3 comments,684,11,Posted on 25 May 2011,Dance
None,Strictly Bangers,"1,652,121 plays",367 comments,15.6K,169,Posted on 2 October 2021,None
newsha jazz nixony whyonly18,nixony,"38,375 plays",9 comments,902,11,Posted on 30 August 2023,Hip-hop & Rap
Freeze Corleone NEW JAZZ🎷🎷,Haybabe,"65,646 plays",80 comments,"2,127",37,Posted on 22 September 2023,None
jazz crusaders beattape,luv.ly,"772,277 plays",276 comments,13.7K,"1,029",Posted on 11 April 2016,None
Louis Armstrong - La Vie En Rose,Miri Meri,"14,026,769 plays","3,392 comments",276K,20.7K,Posted on 21 January 2011,Jazz
LYONZON NEW JAZZ - ARAH 3 (Remix by nxyo),nxyo,"31,203 plays",12 comments,702,14,Posted on 26 August 2023,Alternative Rock
'Le Jazz De V' Live Clip,FourBunny,"84,871 plays",35 comments,"2,877",42,Posted on 16 June 2023,Jazz & Blues
New York Jazz Lounge - Bar Jazz Classics,Maurice Lange,"1,082,345 plays",808 comments,20.8K,"1,170",Posted on 9 February 2017,Jazz & Blues
JAZZ KOMPAS MIX SENSYONE MI SWEET MI RACHEE,DJ SENSY ONE,"366,526 plays",95 comments,"7,483",179,Posted on 26 November 2016,None
